Algorithm,Validation_Score
kNN_k1,0.5
kNN_k3,0.5784313725490197
kNN_k5,0.5490196078431373
kNN_k7,0.5588235294117647
kNN_k9,0.5098039215686274
kNN_k11,0.5294117647058824
DecisionTree_depthNone,0.6078431372549019
DecisionTree_depth3,0.46078431372549017
DecisionTree_depth5,0.46078431372549017
DecisionTree_depth10,0.5784313725490197
DecisionTree_depth15,0.6078431372549019
DecisionTree_depth20,0.6078431372549019
"MLP_(50,)",0.5980392156862745
"MLP_(100,)",0.6372549019607843
RandomForest_n50,0.6274509803921569
RandomForest_n100,0.6078431372549019
RandomForest_n150,0.6274509803921569
RandomForest_n200,0.6078431372549019
RandomForest_n300,0.6078431372549019
